date,T_Occupancy,T_time
31-03-2022,2,9:33:46
31-03-2022,2,9:34:05
31-03-2022,3,9:34:11
31-03-2022,2,9:34:35
31-03-2022,2,9:34:42
31-03-2022,3,9:35:15
31-03-2022,3,9:35:23
31-03-2022,3,9:35:48
31-03-2022,3,9:35:53
31-03-2022,3,9:35:57
31-03-2022,3,9:36:20
31-03-2022,3,9:36:27
31-03-2022,3,9:36:33
31-03-2022,3,9:36:37
31-03-2022,3,9:36:39
31-03-2022,3,9:36:48
31-03-2022,4,9:37:02
31-03-2022,1,9:38:05
31-03-2022,2,9:38:14
31-03-2022,1,9:38:28
31-03-2022,3,9:38:28
31-03-2022,1,9:38:32
31-03-2022,1,9:38:46
31-03-2022,2,9:38:53
31-03-2022,2,9:38:58
31-03-2022,1,9:39:14
31-03-2022,1,9:39:22
31-03-2022,1,9:39:35
31-03-2022,3,9:39:46
31-03-2022,1,9:39:55
31-03-2022,1,9:40:03
31-03-2022,2,9:40:14
31-03-2022,1,9:40:27
31-03-2022,3,9:40:30
31-03-2022,1,9:40:33
31-03-2022,1,9:40:40
31-03-2022,3,9:40:53
31-03-2022,1,9:42:24
31-03-2022,0,9:42:30
31-03-2022,1,9:42:35
31-03-2022,1,9:42:50
31-03-2022,2,9:43:05
31-03-2022,1,9:43:06
31-03-2022,3,9:43:24
31-03-2022,3,9:43:29
31-03-2022,3,9:43:39
31-03-2022,2,9:43:57
31-03-2022,3,9:44:05
31-03-2022,1,9:44:10
31-03-2022,1,9:44:20
31-03-2022,1,9:44:37
31-03-2022,1,9:44:43
31-03-2022,1,9:44:46
31-03-2022,1,9:44:53
31-03-2022,4,9:44:55
31-03-2022,1,9:46:33
31-03-2022,4,9:46:37
31-03-2022,2,9:46:58
31-03-2022,3,9:47:10
31-03-2022,4,9:47:13
31-03-2022,3,9:47:14
31-03-2022,1,9:47:21
31-03-2022,4,9:47:25
31-03-2022,2,9:47:33
31-03-2022,2,9:47:40
31-03-2022,1,9:47:45
31-03-2022,3,9:47:49
31-03-2022,2,9:47:53
31-03-2022,1,9:48:00
31-03-2022,3,9:48:07
31-03-2022,3,9:48:14
31-03-2022,3,9:48:27
31-03-2022,5,9:48:33
31-03-2022,3,9:48:36
31-03-2022,3,9:48:46
31-03-2022,3,9:48:53
31-03-2022,3,9:49:04
31-03-2022,3,9:49:12
31-03-2022,2,9:49:22
31-03-2022,3,9:56:13
31-03-2022,4,9:56:43
31-03-2022,3,9:56:54
31-03-2022,4,9:57:11
31-03-2022,3,9:57:27
31-03-2022,3,9:57:42
31-03-2022,6,9:57:58
31-03-2022,2,9:58:00
31-03-2022,2,9:58:09
31-03-2022,3,9:58:53
31-03-2022,4,9:59:17
31-03-2022,2,10:01:39
31-03-2022,2,10:01:47
31-03-2022,2,10:01:53
31-03-2022,3,10:02:18
31-03-2022,2,10:02:33
31-03-2022,3,10:03:53
31-03-2022,3,10:04:11
31-03-2022,3,10:04:25
31-03-2022,3,10:05:00
31-03-2022,3,10:06:06
31-03-2022,7,10:09:42
31-03-2022,3,10:12:23
31-03-2022,3,10:14:26
31-03-2022,4,10:15:01
31-03-2022,3,10:15:24
31-03-2022,2,10:17:16
31-03-2022,2,10:26:35
31-03-2022,2,10:26:45
31-03-2022,1,10:26:49
31-03-2022,1,10:27:30
31-03-2022,1,10:28:18
31-03-2022,2,10:29:22
31-03-2022,1,10:30:00
31-03-2022,2,10:30:50
31-03-2022,2,10:30:55
31-03-2022,6,10:32:11
01-04-2022,2,9:56:26
01-04-2022,0,10:09:04
01-04-2022,1,10:36:07
01-04-2022,1,10:38:11
01-04-2022,1,10:38:58
01-04-2022,1,10:40:10
01-04-2022,1,10:40:28
01-04-2022,1,10:41:13
01-04-2022,2,13:10:16
01-04-2022,2,13:11:37
01-04-2022,2,14:19:56
01-04-2022,1,14:20:46
01-04-2022,2,14:29:58
01-04-2022,2,14:30:16
01-04-2022,1,17:55:53
01-04-2022,1,17:56:03
01-04-2022,0,17:56:34
01-04-2022,3,18:19:14
01-04-2022,2,18:19:44
01-04-2022,1,18:20:22
01-04-2022,1,18:20:39
01-04-2022,1,18:21:54
01-04-2022,1,11:21:18
01-04-2022,5,11:21:27
01-04-2022,1,11:21:38
01-04-2022,4,11:22:10
01-04-2022,1,11:22:54
01-04-2022,4,11:23:08
01-04-2022,1,11:23:43
01-04-2022,2,11:24:32
01-04-2022,1,11:25:09
01-04-2022,3,11:25:14
01-04-2022,1,15:39:02
01-04-2022,0,15:39:14
01-04-2022,1,15:45:58
01-04-2022,0,15:46:15
01-04-2022,1,15:47:22
01-04-2022,0,15:47:34
01-04-2022,1,15:48:04
01-04-2022,0,15:48:42
01-04-2022,1,15:54:59
01-04-2022,0,15:55:08
01-04-2022,2,16:00:38
01-04-2022,1,16:01:06
01-04-2022,2,16:01:37
01-04-2022,2,16:01:57
01-04-2022,0,16:02:26
01-04-2022,1,17:24:16
01-04-2022,2,17:24:51
01-04-2022,1,17:25:13
01-04-2022,0,17:25:25
01-04-2022,2,17:51:51
01-04-2022,2,17:51:59
01-04-2022,1,17:54:12
01-04-2022,1,17:54:33
01-04-2022,0,17:55:27
01-04-2022,1,17:57:10
01-04-2022,2,18:03:51
01-04-2022,1,18:04:00
01-04-2022,2,18:04:05
01-04-2022,2,18:13:25
01-04-2022,2,18:14:30
01-04-2022,1,18:16:01
01-04-2022,2,18:16:42
01-04-2022,2,18:17:01
01-04-2022,2,18:17:10
01-04-2022,1,18:17:21
01-04-2022,1,18:18:36
01-04-2022,2,18:18:57
01-04-2022,3,18:19:14
01-04-2022,2,18:19:44
01-04-2022,1,18:20:04
01-04-2022,1,18:20:22
01-04-2022,1,18:24:07
01-04-2022,1,18:24:16
01-04-2022,1,18:25:20
01-04-2022,0,18:26:18
01-04-2022,1,18:26:38
01-04-2022,2,18:27:05
01-04-2022,2,18:27:31
01-04-2022,3,18:28:06
01-04-2022,3,18:28:18
01-04-2022,2,18:28:36
01-04-2022,2,18:29:09
01-04-2022,2,18:29:17
01-04-2022,1,18:30:16
01-04-2022,1,18:31:46
06-04-2022,1,12:49:12
06-04-2022,2,12:49:22
06-04-2022,4,14:31:12
06-04-2022,0,14:31:28
06-04-2022,1,12:43:03
06-04-2022,4,12:43:04
06-04-2022,1,12:44:39
06-04-2022,3,12:44:43
06-04-2022,1,12:45:36
06-04-2022,1,12:45:55
06-04-2022,1,12:46:16
06-04-2022,3,12:46:37
06-04-2022,1,12:46:47
06-04-2022,2,12:47:16
06-04-2022,1,12:47:35
06-04-2022,3,12:47:36
06-04-2022,2,12:48:03
06-04-2022,2,12:48:30
06-04-2022,2,12:48:37
06-04-2022,1,12:49:12
06-04-2022,2,12:49:22
06-04-2022,1,12:49:35
06-04-2022,1,12:49:54
06-04-2022,1,12:50:04
06-04-2022,2,12:50:25
06-04-2022,2,12:51:05
06-04-2022,1,12:51:12
06-04-2022,2,12:51:16
06-04-2022,2,12:51:52
06-04-2022,1,12:52:08
06-04-2022,2,12:52:14
06-04-2022,2,12:52:39
06-04-2022,2,12:53:01
06-04-2022,1,12:53:14
06-04-2022,2,12:53:31
06-04-2022,2,12:53:44
06-04-2022,1,12:53:59
